"","SCHOOLID","StIDStd","ST04Q01","ESCS","MATHEFF","MTSUP","WEALTH","LEADPD","SCHLTYPE","SMRATIO","TCMORALE"
"475555",1,2,2,0.89,-0.48,1.1169,0.27,0.6627,3,85.935,-1.4838
"475558",1,5,2,-0.35,-0.48,-0.2395,-0.64,0.6627,3,85.935,-1.4838
"475559",1,6,2,0.63,-0.18,-0.2395,0.01,0.6627,3,85.935,-1.4838
"475562",1,9,1,0.62,-0.63,-0.2395,0.91,0.6627,3,85.935,-1.4838
"475569",1,16,2,0.42,0.15,1.1169,0.57,0.6627,3,85.935,-1.4838
"475570",1,17,1,-0.35,0.54,-0.2395,0.57,0.6627,3,85.935,-1.4838
"475573",1,20,1,0.15,-0.33,1.8433,0.01,0.6627,3,85.935,-1.4838
"475581",1,28,2,-0.57,-0.48,1.1169,0.27,0.6627,3,85.935,-1.4838
"475614",3,61,1,-0.55,-0.18,0.6709,0.01,1.0394,3,126.333,-1.4838
"475615",3,62,1,1.71,2.27,-0.2395,1.33,1.0394,3,126.333,-1.4838
"475619",3,66,2,-0.34,2.27,0.6709,1.33,1.0394,3,126.333,-1.4838
"475622",3,69,2,-1.13,1.07,-0.9508,-1.16,1.0394,3,126.333,-1.4838
"475623",3,70,1,1.37,1.47,-0.6577,1.33,1.0394,3,126.333,-1.4838
"475632",3,79,2,0.46,2.27,0.2486,0.27,1.0394,3,126.333,-1.4838
"475635",3,82,1,-0.09,0.15,1.8433,0.01,1.0394,3,126.333,-1.4838
"475636",3,83,1,-0.53,-0.48,1.1169,0.6,1.0394,3,126.333,-1.4838
"475637",3,84,2,0.16,-0.48,-2.8645,-0.71,1.0394,3,126.333,-1.4838
"475641",3,88,2,0.12,-0.18,1.8433,-0.48,1.0394,3,126.333,-1.4838
"475643",3,90,1,0.87,0.15,-0.2395,0.27,1.0394,3,126.333,-1.4838
"475647",4,94,1,0.72,0.78,1.8433,1.33,1.7628,3,134.286,1.4452
"475653",4,100,2,-0.62,0.15,0.6709,0.27,1.7628,3,134.286,1.4452
"475655",4,102,1,1.45,-0.48,1.8433,1.33,1.7628,3,134.286,1.4452
"475657",4,104,2,1.28,-0.02,-0.6577,0.91,1.7628,3,134.286,1.4452
"475660",4,107,1,-0.37,1.07,0.2486,-0.48,1.7628,3,134.286,1.4452
"475665",4,112,2,-0.77,-0.48,1.1169,0.27,1.7628,3,134.286,1.4452
"475667",4,114,1,0.75,-0.48,-0.2395,0.01,1.7628,3,134.286,1.4452
"475668",4,115,2,-0.36,-0.18,0.2486,0.27,1.7628,3,134.286,1.4452
"475669",4,116,2,2.34,2.27,-0.2395,1.9,1.7628,3,134.286,1.4452
"475671",4,118,2,-2.61,-0.48,1.8433,-1.38,1.7628,3,134.286,1.4452
"475675",4,122,1,-0.78,0.78,-0.2395,0.01,1.7628,3,134.286,1.4452
"475679",5,126,2,-1,1.07,1.1169,-0.24,-0.386,9,85.5,1.4452
"475681",5,128,1,2.53,0.78,0.6709,3.02,-0.386,9,85.5,1.4452
"475685",5,132,2,1.01,-0.18,1.8433,1.9,-0.386,9,85.5,1.4452
"475690",5,137,1,0.86,-0.33,0.2486,0.57,-0.386,9,85.5,1.4452
"475691",5,138,2,1.71,2.27,1.1169,3.02,-0.386,9,85.5,1.4452
"475701",5,148,1,0.37,0.78,1.1169,0.01,-0.386,9,85.5,1.4452
"475702",5,149,1,0.98,-0.33,1.1169,0.91,-0.386,9,85.5,1.4452
"475705",5,152,2,1.49,1.47,1.1169,0.57,-0.386,9,85.5,1.4452
"475708",6,155,1,-0.87,-0.63,-0.6577,-0.94,1.7628,3,130.143,0.0826
"475713",6,160,2,0.28,1.07,-1.1894,0.57,1.7628,3,130.143,0.0826
"475714",6,161,1,-1.1,-0.33,-0.2395,-0.48,1.7628,3,130.143,0.0826
"475717",6,164,2,0.61,2.27,1.8433,0.01,1.7628,3,130.143,0.0826
"475724",6,171,2,1.61,0.02,-0.6577,1.19,1.7628,3,130.143,0.0826
"475727",6,174,2,0.3,-0.33,-0.2395,0.91,1.7628,3,130.143,0.0826
"475729",6,176,2,0.8,2.27,1.8433,0.27,1.7628,3,130.143,0.0826
"475730",6,177,2,-0.05,-0.33,-0.6577,1.33,1.7628,3,130.143,0.0826
"475731",6,178,1,-0.26,-1.06,-1.4093,-0.24,1.7628,3,130.143,0.0826
"475736",6,183,1,0.4,0.15,-0.9508,-0.24,1.7628,3,130.143,0.0826
"475737",6,184,1,1.86,1.47,0.6709,3.02,1.7628,3,130.143,0.0826
"475743",7,190,1,1.39,0.54,1.8433,0.91,1.7628,3,76.739,1.4452
"475751",7,198,2,1.14,0.34,1.1169,0.57,1.7628,3,76.739,1.4452
"475753",7,200,1,0.84,-0.33,-0.2395,1.9,1.7628,3,76.739,1.4452
"475755",7,202,2,1.45,1.07,0.2486,1.33,1.7628,3,76.739,1.4452
"475759",7,206,2,1.25,0.15,0.2486,0.27,1.7628,3,76.739,1.4452
"475760",7,207,2,1.43,0.15,-0.6577,1.33,1.7628,3,76.739,1.4452
"475764",7,211,2,1.11,0.34,0.6709,1.33,1.7628,3,76.739,1.4452
"475765",7,212,1,-0.04,0.78,0.6709,0.91,1.7628,3,76.739,1.4452
"475768",7,215,2,1.3,-0.18,1.1169,3.02,1.7628,3,76.739,1.4452
"475769",7,216,2,1.06,-0.02,1.1169,0.91,1.7628,3,76.739,1.4452
"475772",7,219,2,1.91,2.27,1.8433,1.9,1.7628,3,76.739,1.4452
"475776",8,223,2,-0.36,-0.63,-0.6577,0.91,1.0394,1,76.4,0.8541
"475779",8,226,2,1.28,1.47,1.1169,0.91,1.0394,1,76.4,0.8541
"475781",9,228,1,0.52,2.27,-0.6577,0.27,1.7628,3,126.611,0.4686
"475784",9,231,2,-1.21,-0.18,0.6709,0.01,1.7628,3,126.611,0.4686
"475787",9,234,1,0.61,0.15,-0.2395,1.33,1.7628,3,126.611,0.4686
"475789",9,236,1,-1.82,-1.86,-0.6577,-1.61,1.7628,3,126.611,0.4686
"475790",9,237,2,-1.55,-0.48,1.1169,-1.85,1.7628,3,126.611,0.4686
"475793",9,240,1,0.33,-0.63,-0.9508,-0.71,1.7628,3,126.611,0.4686
"475795",9,242,2,-1.47,1.47,0.2486,-0.94,1.7628,3,126.611,0.4686
"475808",9,255,2,-0.15,-0.48,0.2486,0.27,1.7628,3,126.611,0.4686
"475809",9,256,2,1.27,2.27,1.8433,3.02,1.7628,3,126.611,0.4686
"475815",9,262,2,-1.3,-0.18,-0.2395,1.33,1.7628,3,126.611,0.4686
"475818",10,265,2,-0.51,2.27,1.8433,3.02,1.7628,3,125.778,-0.7371
"475819",10,266,1,2.27,0.15,-0.6577,3.02,1.7628,3,125.778,-0.7371
"475820",10,267,2,-0.06,-0.33,1.8433,0.91,1.7628,3,125.778,-0.7371
"475821",10,268,1,0.5,0.54,-0.2395,-0.71,1.7628,3,125.778,-0.7371
"475823",10,270,2,2.04,-0.48,-1.6333,1.9,1.7628,3,125.778,-0.7371
"475828",10,275,2,-0.43,-0.33,-1.3901,0.27,1.7628,3,125.778,-0.7371
"475833",10,280,1,0.37,0.54,1.8433,1.9,1.7628,3,125.778,-0.7371
"475834",10,281,1,1.13,2.27,1.8433,0.01,1.7628,3,125.778,-0.7371
